time,temperature,humidity,ph,ec
2025-05-26 13시,20,56.6,5.83,4.87
2025-05-26 14시,20,63.2,5.83,4.87
2025-05-26 15시,19.8,65.6,5.83,4.87
2025-05-26 16시,19,63.4,5.83,4.87
2025-05-26 17시,19,60.2,5.83,4.87
2025-05-26 18시,19,56.8,5.83,4.87
2025-05-26 19시,19,60.7,5.83,4.87
2025-05-26 20시,18.2,68.5,5.83,4.87
2025-05-26 21시,17.7,72.6,5.83,4.87
2025-05-26 22시,18,72.9,5.83,4.87
2025-05-26 23시,18,72.1,5.83,4.87
2025-05-27 00시,18,70.3,5.83,4.87
2025-05-27 01시,18,67.5,5.83,4.87
2025-05-27 02시,18,67.1,5.83,4.87
2025-05-27 03시,17.5,67.7,5.83,4.87
2025-05-27 04시,17,67,5.83,4.87
2025-05-27 05시,17,68,5.83,4.87
2025-05-27 06시,17.6,67.8,5.83,4.87
2025-05-27 07시,18,68.4,5.83,4.87
2025-05-27 08시,18.7,65.6,5.83,4.87
2025-05-27 09시,20,61.5,5.83,4.87
2025-05-27 10시,20,59.1,5.83,4.87
2025-05-27 11시,20,59.5,5.83,4.87
2025-05-27 12시,20,62.8,5.83,4.87
2025-05-27 13시,20,63.3,5.83,4.87
2025-05-27 14시,20,63,5.83,4.87
2025-05-27 15시,20,65.9,5.83,4.87
2025-05-27 16시,20,65.4,5.83,4.87
2025-05-27 17시,20,63.5,5.83,4.87
2025-05-27 18시,19.1,64.6,6.34,4.92
2025-05-27 19시,19,67.6,6.34,4.92
2025-05-27 20시,18.1,73.1,6.34,4.92
2025-05-27 21시,18,76.3,6.34,4.92
2025-05-27 22시,17.9,72.8,6.34,4.92
2025-05-27 23시,17.9,74.6,6.34,4.92
2025-05-28 00시,17.8,74.3,6.34,4.92
2025-05-28 01시,17.8,74.5,6.34,4.92
2025-05-28 02시,17.8,74.5,6.34,4.92
2025-05-28 03시,17.7,74.9,6.34,4.92
2025-05-28 04시,18,74.2,6.34,4.92
2025-05-28 05시,18,73.7,6.34,4.92
2025-05-28 06시,18,74.3,6.34,4.92
2025-05-28 07시,18,75.9,6.34,4.92
2025-05-28 08시,18,76,6.34,4.92
2025-05-28 09시,18,73.5,5.18,4.95
2025-05-28 10시,18.6,73.4,5.18,4.95
2025-05-28 11시,19.9,70.4,5.18,4.95
2025-05-28 12시,20,66,5.18,4.95
2025-05-28 13시,20,63.7,5.18,4.95
2025-05-28 14시,20,63.7,5.18,4.95
2025-05-28 15시,20,66.8,5.18,4.95
2025-05-28 16시,20,65.8,5.18,4.95
2025-05-28 17시,19.4,65.1,5.18,4.95
2025-05-28 18시,19,65.5,5.18,4.95
2025-05-28 19시,19,65.4,5.18,4.95
2025-05-28 20시,19,67.9,5.18,4.95
2025-05-28 21시,18.1,71.1,5.18,4.95
2025-05-28 22시,18,72.1,5.18,4.95
2025-05-28 23시,17.8,71.7,5.18,4.95
2025-05-29 00시,17.8,71.6,5.18,4.95
2025-05-29 01시,17.9,72.1,5.18,4.95
2025-05-29 02시,18,71.6,5.18,4.95
2025-05-29 03시,17.4,72.6,5.18,4.95
2025-05-29 04시,18,72,5.18,4.95
2025-05-29 05시,18,72,5.18,4.95
2025-05-29 06시,18,72.3,5.18,4.95
2025-05-29 07시,18,73.1,5.18,4.95
2025-05-29 08시,18.9,70,5.18,4.95
2025-05-29 09시,20,63.2,6.35,6.78
2025-05-29 10시,20,59.8,6.35,6.78
2025-05-29 11시,20,59.9,6.35,6.78
2025-05-29 12시,20,59.7,6.35,6.78
2025-05-29 13시,20,62.8,5.91,8.4
2025-05-29 14시,20,62.6,5.91,8.4
2025-05-29 15시,20,63.8,5.91,8.4
2025-05-29 16시,20,64.7,5.91,8.4
2025-05-29 17시,20,65.4,5.91,8.4
2025-05-29 18시,19.7,64.9,6.19,8.5
2025-05-29 19시,19.4,63.8,6.19,8.5
2025-05-29 20시,19.2,59.5,6.19,8.5
2025-05-29 21시,18.5,63.4,6.19,8.5
2025-05-29 22시,18,64.3,6.19,8.5
2025-05-29 23시,17.6,65.9,6.19,8.5
2025-05-30 00시,17.7,67.7,6.19,8.5
2025-05-30 01시,17.8,68.5,6.19,8.5
2025-05-30 02시,17.9,69,6.19,8.5
2025-05-30 03시,17.5,69.9,6.19,8.5
2025-05-30 04시,17.9,68.8,6.19,8.5
2025-05-30 05시,18,69,6.19,8.5
2025-05-30 06시,18,70.3,6.19,8.5
2025-05-30 07시,18,72.6,6.19,8.5
2025-05-30 08시,18.7,72.3,6.19,8.5
2025-05-30 09시,20,63.6,5.99,7.95
2025-05-30 10시,20,60.2,5.99,7.95
2025-05-30 11시,20,59.7,5.99,7.95
2025-05-30 12시,20,57.5,5.99,7.95
2025-05-30 13시,20,54.4,5.99,7.95
2025-05-30 14시,20,44.1,5.99,7.95
2025-05-30 15시,20,45.2,5.99,7.95
2025-05-30 16시,20,61.3,5.99,7.95
2025-05-30 17시,20,64.1,5.99,7.95
2025-05-30 18시,19,61.7,5.99,7.95
2025-05-30 19시,19.2,61.4,5.99,7.95
2025-05-30 20시,19,62.3,5.99,7.95
2025-05-30 21시,18.4,65.4,5.99,7.95
2025-05-30 22시,17.7,64,5.99,7.95
2025-05-30 23시,17.5,62.8,5.99,7.95
2025-05-31 00시,17.6,64.5,5.99,7.95
2025-05-31 01시,17.7,63.5,5.99,7.95
2025-05-31 02시,17.8,63.2,5.99,7.95
2025-05-31 03시,17.7,64.8,5.99,7.95
2025-05-31 04시,18,63.3,5.99,7.95
2025-05-31 05시,18,64,5.99,7.95
2025-05-31 06시,18,66,5.99,7.95
2025-05-31 07시,18,68.2,5.99,7.95
2025-05-31 08시,18.9,66.2,5.99,7.95
2025-05-31 09시,20,61.8,5.99,7.95
2025-05-31 10시,20,61.1,5.99,7.95
2025-05-31 11시,20,61.7,5.99,7.95
2025-05-31 12시,20,60.3,5.99,7.95
2025-05-31 13시,20,57.7,5.99,7.95
2025-05-31 14시,20,57.2,5.99,7.95
2025-05-31 15시,20,59.9,5.99,7.95
2025-05-31 16시,19.6,62,5.99,7.95
2025-05-31 17시,19.9,64.7,5.99,7.95
2025-05-31 18시,19,67.4,5.99,7.95
2025-05-31 19시,19,69.2,5.99,7.95
2025-05-31 20시,18.6,67.5,5.99,7.95
2025-05-31 21시,18,70.6,5.99,7.95
2025-05-31 22시,17.9,70.4,5.99,7.95
2025-05-31 23시,17.5,70.7,5.99,7.95
2025-06-01 00시,17.6,73.9,5.99,7.95
2025-06-01 01시,17.7,74.2,5.99,7.95
2025-06-01 02시,17.7,73.7,5.99,7.95
2025-06-01 03시,17.5,73.8,5.99,7.95
2025-06-01 04시,17.8,73.8,5.99,7.95
2025-06-01 05시,18,72.7,5.99,7.95
2025-06-01 06시,18,73.1,5.99,7.95
2025-06-01 07시,18,73.6,5.99,7.95
2025-06-01 08시,19.1,71.9,5.99,7.95
2025-06-01 09시,20,61,5.99,7.95
2025-06-01 10시,20,57.4,5.99,7.95
2025-06-01 11시,20,58.1,5.99,7.95
2025-06-01 12시,20,56.8,5.99,7.95
2025-06-01 13시,20,58.3,5.99,7.95
2025-06-01 14시,20,61.1,5.99,7.95
2025-06-01 15시,20,62,5.99,7.95
2025-06-01 16시,20,63.9,5.99,7.95
2025-06-01 17시,20,63,5.99,7.95
2025-06-01 18시,19.9,63.8,5.99,7.95
2025-06-01 19시,19,66.8,5.99,7.95
2025-06-01 20시,19,68.9,5.99,7.95
2025-06-01 21시,18.7,67.9,5.99,7.95
2025-06-01 22시,18,65.5,5.99,7.95
2025-06-01 23시,17.9,70,5.99,7.95
2025-06-02 00시,17.6,71.9,5.99,7.95
2025-06-02 01시,17.5,72.5,5.99,7.95
2025-06-02 02시,17.4,72.1,5.99,7.95
2025-06-02 03시,17.4,72.1,5.99,7.95
2025-06-02 04시,17.3,73.8,5.99,7.95
2025-06-02 05시,17.4,74.3,5.99,7.95
2025-06-02 06시,18,74.6,5.99,7.95
2025-06-02 07시,18,74.5,5.99,7.95
2025-06-02 08시,18.3,75.4,5.99,7.95
2025-06-02 09시,19,75.8,5.99,7.95
2025-06-02 10시,19.1,72.3,5.82,7.99
2025-06-02 11시,20,69,5.82,7.99
2025-06-02 12시,20,69.5,5.82,7.99
2025-06-02 13시,20,68.8,5.82,7.99
2025-06-02 14시,20,64.3,5.82,7.99
2025-06-02 15시,20,67.3,5.82,7.99
2025-06-02 16시,20,69,5.82,7.99
2025-06-02 17시,20,70.2,5.82,7.99
2025-06-02 18시,20,71.5,5.82,7.99
2025-06-02 19시,19.3,71.4,5.82,7.99
2025-06-02 20시,19,73.3,5.82,7.99
2025-06-02 21시,18.1,73.6,5.82,7.99
2025-06-02 22시,18,73.2,5.82,7.99
2025-06-02 23시,17.9,74.7,5.82,7.99
2025-06-03 00시,17.7,75.5,5.82,7.99
2025-06-03 01시,17.6,76.3,5.82,7.99
2025-06-03 02시,17.6,76.9,5.82,7.99
2025-06-03 03시,17.5,78.2,5.82,7.99
2025-06-03 04시,17.7,78.7,5.82,7.99
2025-06-03 05시,17.9,77,5.82,7.99
2025-06-03 06시,18,76.5,5.82,7.99
2025-06-03 07시,18,73.1,5.82,7.99
2025-06-03 08시,19.3,63.9,5.82,7.99
2025-06-03 09시,20,58.5,5.82,7.99
2025-06-03 10시,20,54.1,5.82,7.99
2025-06-03 11시,20,55.8,5.82,7.99
2025-06-03 12시,20,60.2,5.82,7.99
2025-06-03 13시,20,63.4,5.82,7.99
2025-06-03 14시,20,64.4,5.82,7.99
2025-06-03 15시,20,66.4,5.82,7.99
2025-06-03 16시,20,66.6,5.82,7.99
2025-06-03 17시,19.5,65.8,5.82,7.99
2025-06-03 18시,19,66.9,5.82,7.99
2025-06-03 19시,19.4,64,5.82,7.99
2025-06-03 20시,18.6,60.9,5.82,7.99
2025-06-03 21시,18,67.1,5.82,7.99
2025-06-03 22시,17.7,68.1,5.82,7.99
2025-06-03 23시,17.7,66.6,5.82,7.99
2025-06-04 00시,17.8,66.4,5.82,7.99
2025-06-04 01시,17.9,66.5,5.82,7.99
2025-06-04 02시,18,66,5.82,7.99
2025-06-04 03시,17.5,67,5.82,7.99
2025-06-04 04시,18,64.3,5.82,7.99
2025-06-04 05시,18,64.4,5.82,7.99
2025-06-04 06시,18,66.7,5.82,7.99
2025-06-04 07시,18,67.5,5.82,7.99
2025-06-04 08시,19.3,63.6,5.82,7.99
2025-06-04 09시,20,56.6,5.82,7.99
2025-06-04 10시,20,55.8,6.13,7.8
2025-06-04 11시,20,55.9,6.13,7.8
2025-06-04 12시,20,58.1,6.13,7.8
2025-06-04 13시,20,56.7,6.13,7.8
2025-06-04 14시,19.6,59.1,6.13,7.8
2025-06-04 15시,19.7,65.4,6.13,7.8
2025-06-04 16시,20,63.9,6.13,7.8
2025-06-04 17시,20,61.4,6.13,7.8
2025-06-04 18시,20,52.7,6.13,7.8
2025-06-04 19시,20,48.1,5.89,7.86
2025-06-04 20시,19.4,58.4,5.89,7.86
2025-06-04 21시,18.6,66.5,5.89,7.86
2025-06-04 22시,18,70.5,5.89,7.86
2025-06-04 23시,17.8,70.4,5.89,7.86
2025-06-05 00시,17.6,71.5,5.89,7.86
2025-06-05 01시,17.6,71.5,5.89,7.86
2025-06-05 02시,17.7,71.3,5.89,7.86
2025-06-05 03시,17.6,71.6,5.89,7.86
2025-06-05 04시,18,70.2,5.89,7.86
2025-06-05 05시,18,69.3,5.89,7.86
2025-06-05 06시,18,69.6,5.89,7.86
2025-06-05 07시,18,70.4,5.89,7.86
2025-06-05 08시,19.2,67,5.89,7.86
2025-06-05 09시,20,56.6,5.89,7.86
2025-06-05 10시,20,53.8,5.89,7.86
2025-06-05 11시,20,54,5.89,7.86
2025-06-05 12시,20,54.1,5.89,7.86
2025-06-05 13시,20,55.7,5.89,7.86
2025-06-05 14시,20,53.2,5.89,7.86
2025-06-05 15시,20,51.8,5.89,7.86
2025-06-05 16시,20,47.8,5.89,7.86
2025-06-05 17시,20,46.9,5.89,7.86
2025-06-05 18시,20,50.6,5.08,8.12
2025-06-05 19시,19.9,48.1,5.08,8.12
2025-06-05 20시,19,48.1,5.08,8.12
2025-06-05 21시,19,51.8,5.08,8.12
2025-06-05 22시,18.3,54.2,5.08,8.12
2025-06-05 23시,18,53.8,5.08,8.12
2025-06-06 00시,18,50.5,5.08,8.12
2025-06-06 01시,18,48.8,5.08,8.12
2025-06-06 02시,17.9,52.4,5.08,8.12
2025-06-06 03시,17.7,56,5.08,8.12
2025-06-06 04시,17.5,52.5,5.08,8.12
2025-06-06 05시,17.5,52.1,5.08,8.12
2025-06-06 06시,17.9,52.8,5.08,8.12
2025-06-06 07시,18.7,53.4,5.08,8.12
2025-06-06 08시,19.9,51,5.08,8.12
2025-06-06 09시,20.1,53.2,5.08,8.12
2025-06-06 10시,20.8,50.9,5.08,8.12
2025-06-06 11시,21,52.6,5.08,8.12
2025-06-06 12시,21,52.9,5.08,8.12
2025-06-06 13시,20.6,53.1,5.08,8.12
2025-06-06 14시,20,53.8,5.08,8.12
2025-06-06 15시,20,59.1,5.08,8.12
2025-06-06 16시,20,58.5,5.08,8.12
2025-06-06 17시,20,59.7,5.08,8.12
2025-06-06 18시,20,60.5,5.08,8.12
2025-06-06 19시,20,58.6,5.08,8.12
2025-06-06 20시,19.1,58.8,5.08,8.12
2025-06-06 21시,19,61,5.08,8.12
2025-06-06 22시,19,60.7,5.08,8.12
2025-06-06 23시,19,57.4,5.08,8.12
2025-06-07 00시,19,56.5,5.08,8.12
2025-06-07 01시,19,56.2,5.08,8.12
2025-06-07 02시,18,56.3,5.08,8.12
2025-06-07 03시,18,58.8,5.08,8.12
2025-06-07 04시,18,60.3,5.08,8.12
2025-06-07 05시,18,64.6,5.08,8.12
2025-06-07 06시,18.4,64.7,5.08,8.12
2025-06-07 07시,19.5,62.9,5.08,8.12
2025-06-07 08시,20,66.5,5.08,8.12
2025-06-07 09시,20,69.6,5.08,8.12
2025-06-07 10시,20,66.7,5.08,8.12
2025-06-07 11시,20,65.7,5.08,8.12
2025-06-07 12시,20,63.8,5.08,8.12
2025-06-07 13시,20,62,5.08,8.12
2025-06-07 14시,20,63.2,5.08,8.12
2025-06-07 15시,20,62.2,5.08,8.12
2025-06-07 16시,20,66.3,5.08,8.12
2025-06-07 17시,20,66.6,5.08,8.12
2025-06-07 18시,20,67.6,5.08,8.12
2025-06-07 19시,20,68.8,5.08,8.12
2025-06-07 20시,19.1,74.2,5.08,8.12
2025-06-07 21시,19,80,5.08,8.12
2025-06-07 22시,19,82.2,5.08,8.12
2025-06-07 23시,19,82.9,5.08,8.12
2025-06-08 00시,19,83.1,5.08,8.12
2025-06-08 01시,19,84,5.08,8.12
2025-06-08 02시,19,84,5.08,8.12
2025-06-08 03시,19,83.1,5.08,8.12
2025-06-08 04시,19,84.9,5.08,8.12
2025-06-08 05시,19,84.6,5.08,8.12
2025-06-08 06시,19.2,82.7,5.08,8.12
2025-06-08 07시,20,79.2,5.08,8.12
2025-06-08 08시,20,75.8,5.08,8.12
2025-06-08 09시,20,67.3,5.08,8.12
2025-06-08 10시,20,58.6,5.08,8.12
2025-06-08 11시,20,58.5,5.08,8.12
2025-06-08 12시,20,58.9,5.08,8.12
2025-06-08 13시,20,59,5.08,8.12
2025-06-08 14시,20,59.5,5.08,8.12
2025-06-08 15시,20,61.6,5.08,8.12
2025-06-08 16시,20,62.9,5.08,8.12
2025-06-08 17시,20,64.9,5.08,8.12
2025-06-08 18시,20,65.4,5.08,8.12
2025-06-08 19시,20,66.8,5.08,8.12
2025-06-08 20시,19.4,71.5,5.08,8.12
2025-06-08 21시,19,78.7,5.08,8.12
2025-06-08 22시,19,81,5.08,8.12
2025-06-08 23시,19,81.2,5.08,8.12
2025-06-09 00시,19,81.8,5.08,8.12
2025-06-09 01시,19,82.7,5.08,8.12
2025-06-09 02시,19,83.3,5.08,8.12
2025-06-09 03시,19,82.2,5.08,8.12
2025-06-09 04시,19,82.8,5.08,8.12
2025-06-09 05시,18.2,80.8,5.08,8.12
2025-06-09 06시,18.4,77.2,5.08,8.12
2025-06-09 07시,19,75.4,5.08,8.12
2025-06-09 08시,19.9,72.4,5.08,8.12
2025-06-09 09시,20,61.3,5.08,8.12
2025-06-09 10시,20,57.8,5.15,8.1
2025-06-09 11시,20.5,58.3,5.15,8.1
2025-06-09 12시,20.3,57.1,5.15,8.1
2025-06-09 13시,20,58.1,5.15,8.1
2025-06-09 14시,20,60.3,5.15,8.1
2025-06-09 15시,20,62.4,5.15,8.1
2025-06-09 16시,20,65.4,5.15,8.1
2025-06-09 17시,20,63.3,5.15,8.1
2025-06-09 18시,20,66.3,5.15,8.1
2025-06-09 19시,20,69.7,5.15,8.1
2025-06-09 20시,19.1,75.2,5.15,8.1
2025-06-09 21시,19,79.8,5.15,8.1
2025-06-09 22시,19,81,5.15,8.1
